artist_id,artist_name,rank_listeners,monitored_on
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,153,7/4/2026
738wLrAtLtCtFOLvQBXOXp,Major Lazer,154,7/4/2026
6MDME20pz9RveH9rEXvrOM,Clean Bandit,155,7/4/2026
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,156,7/4/2026
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,157,7/4/2026
6Ip8FS7vWT1uKkJSweANQK,Dave,158,7/4/2026
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,159,7/4/2026
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,160,7/4/2026
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,161,7/4/2026
2o5jDhtHVPhrJdv3cEQ99Z,Tiesto,162,7/4/2026
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,163,7/4/2026
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,164,7/4/2026
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,165,7/4/2026
1zNqDE7qDGCsyzJwohVaoX,Anne Marie,166,7/4/2026
74XFHRwlV6OrjEM0A2NCMF,Paramore,167,7/4/2026
58lV9VcRSjABbAbfWS6skp,Bon Jovi,168,7/4/2026
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,169,7/4/2026
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,170,7/4/2026
7a0XAaPaK2aDSqa8p3QnC7,Beele,171,7/4/2026
5PlfkPxwCpRRWQJBxCa0By,Hugel,172,7/4/2026
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,173,7/4/2026
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,174,7/4/2026
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,175,7/4/2026
6vXTefBL93Dj5IqAWq6OTv,French Montana,176,7/4/2026
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,177,7/4/2026
2DaxqgrOhkeH0fpeiQq2f4,Oasis,178,7/4/2026
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ,179,7/4/2026
4obzFoKoKRHIphyHzJ35G3,Becky G,180,7/4/2026
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,181,7/4/2026
2ye2Wgw4gimLv2eAKyk1NB,Metallica,182,7/4/2026
2sSGPbdZJkaSE2AbcGOACx,The Marias,183,7/4/2026
4r63FhuTkUYltbVAg5TQnk,DaBaby,184,7/4/2026
6Mv8GjQa7LKUGCAqa9qqdb,Vishal Shekhar,185,7/4/2026
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,186,7/4/2026
3SozjO3Lat463tQICI9LcE,Tyla,187,7/4/2026
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,188,7/4/2026
10exVja0key0uqUkk6LJRT,Vance Joy,189,7/4/2026
3AQRLZ9PuTAozP28Skbq8V,The Script,190,7/4/2026
3c0gDdb9lhnHGFtP4prQpn,Katseye,191,7/4/2026
5BtqlKE5XsvtAvE4ybVI8b,Jhayco,192,7/4/2026
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,193,7/4/2026
4kYSro6naA4h99UJvo89HB,Cardi B,194,7/4/2026
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,195,7/4/2026
3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan,196,7/4/2026
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,197,7/4/2026
360IAlyVv4PCEVjgyMZrxK,Miguel,198,7/4/2026
09UmIX92EUH9hAK4bxvHx6,Mithoon,199,7/4/2026
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,200,7/4/2026
